distribution,pga_g,comparable_scale
local_P695_scaled_analysis_all_sets,0.0757915,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5579075,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.10925572,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.25032915,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.390199,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.17396116,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.254772675,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.4268695,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.22485,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.32950725,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.28762527499999996,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.08568105,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.7685150000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5006583,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.02803625,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.446304975,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.3531751,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.22485,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5459670000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.14623264,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.51659475,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.08315660000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.61682175,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.16870069999999998,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.7775691,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.27442625,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.38057835,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.08381894000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.27442625,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.536814,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.10367588000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.23493757499999998,scaled analysis input PGA
