method,scenario,split_id,alpha,selected_margin,calibration_risk_stat,test_false_safe_rate_given_unsafe,test_false_safe_rate_among_accepted,test_accepted_coverage
cp_bonferroni_upper95,exchangeable_retained_rc_wall,47,0.01,0.5,0.009530154472534335,0.0035174111853675696,0.0022471910112359553,0.4246993701087994
cp_bonferroni_upper95,exchangeable_retained_rc_wall,48,0.01,0.5,0.008999285966258805,0.003900709219858156,0.0024428159005107706,0.42975758732582553
cp_bonferroni_upper95,exchangeable_retained_rc_wall,49,0.01,0.5,0.00941111374217172,0.003562522265764161,0.002244165170556553,0.425271998472991
cp_bonferroni_upper95,domain_blocked_rc_wall_to_esm,0,0.01,0.5,0.006987599001271808,0.020833333333333332,0.020048115477145148,0.33931972789115644
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:EMSC-20161026_0000095,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:EMSC-20161030_0000029,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:INT-20230206_0000008,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:INT-20230206_0000222,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:INT-UT19990920_174715,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:INT-UT19991022_021856,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:IS-2000-0048,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:IS-2000-0053,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:IS-2008-0054,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:TK-1999-0415,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed0:esm:UZ-1976-0001,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:EMSC-20161026_0000095,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:EMSC-20161030_0000029,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:INT-20230206_0000008,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:INT-20230206_0000222,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:INT-UT19990920_174715,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:INT-UT19991022_021856,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:IS-2000-0048,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:IS-2000-0053,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:IS-2008-0054,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:TK-1999-0415,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed1:esm:UZ-1976-0001,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:EMSC-20161026_0000095,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:EMSC-20161030_0000029,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:INT-20230206_0000008,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:INT-20230206_0000222,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:INT-UT19990920_174715,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:INT-UT19991022_021856,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:IS-2000-0048,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:IS-2000-0053,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:IS-2008-0054,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:TK-1999-0415,0.01,,,,,0.0
cp_bonferroni_upper95,event_blocked_esm_leave_one_event,seed2:esm:UZ-1976-0001,0.01,,,,,0.0
cp_bonferroni_upper95,exchangeable_retained_rc_wall,0,0.02,0.5,0.008961801058087533,0.003917378917378918,0.0024830699774266367,0.4227906088948273
cp_bonferroni_upper95,exchangeable_retained_rc_wall,1,0.02,0.5,0.008529243846445263,0.004261363636363636,0.0026851644663235625,0.4265126932620729
cp_bonferroni_upper95,exchangeable_retained_rc_wall,2,0.02,0.5,0.009614609141300448,0.003486750348675035,0.002240143369175627,0.4260355029585799
cp_bonferroni_upper95,exchangeable_retained_rc_wall,3,0.02,0.5,0.009168665870858527,0.0038287504350852765,0.002497729336966394,0.4203092193166635
cp_bonferroni_upper95,exchangeable_retained_rc_wall,4,0.02,0.5,0.0076925531553286765,0.004912280701754386,0.0031645569620253164,0.42221798053063564
cp_bonferroni_upper95,exchangeable_retained_rc_wall,5,0.02,0.5,0.009385062985155719,0.0035727045373347625,0.0022271714922048997,0.42851689253674363
cp_bonferroni_upper95,exchangeable_retained_rc_wall,6,0.02,0.5,0.009087982241886389,0.0038623595505617976,0.002466367713004484,0.42565375071578543
cp_bonferroni_upper95,exchangeable_retained_rc_wall,7,0.02,0.5,0.008589040042682041,0.004231311706629055,0.0026972353337828725,0.42460393204810076
cp_bonferroni_upper95,exchangeable_retained_rc_wall,8,0.02,0.5,0.009956942061241094,0.0031746031746031746,0.0020274836674926784,0.4236495514411147
cp_bonferroni_upper95,exchangeable_retained_rc_wall,9,0.02,0.5,0.008190252802506643,0.004547044421126268,0.0029431741000679195,0.4215499141057454
cp_bonferroni_upper95,exchangeable_retained_rc_wall,10,0.02,0.5,0.010352974701726561,0.0028368794326241137,0.0017949293246578416,0.42536743653368964
cp_bonferroni_upper95,exchangeable_retained_rc_wall,11,0.02,0.5,0.007657481964855941,0.004934790271413465,0.0031340944705618985,0.4263218171406757
cp_bonferroni_upper95,exchangeable_retained_rc_wall,12,0.02,0.5,0.007243680194376923,0.005242922055225445,0.0033549541489599644,0.42670356938347015
cp_bonferroni_upper95,exchangeable_retained_rc_wall,13,0.02,0.5,0.009181708387941303,0.0038234271810914148,0.0024658148397220356,0.42574918877648404
cp_bonferroni_upper95,exchangeable_retained_rc_wall,14,0.02,0.5,0.007730683178719426,0.004888268156424581,0.0031753232025402587,0.4207864096201565
cp_bonferroni_upper95,exchangeable_retained_rc_wall,15,0.02,0.5,0.008986756203350845,0.00390625,0.0024336283185840708,0.43138003435770184
cp_bonferroni_upper95,exchangeable_retained_rc_wall,16,0.02,0.5,0.008742264086354522,0.004158004158004158,0.002745995423340961,0.4170643252529109
cp_bonferroni_upper95,exchangeable_retained_rc_wall,17,0.02,0.5,0.008110001335952199,0.0045920169551395265,0.002908928171850526,0.4265126932620729
cp_bonferroni_upper95,exchangeable_retained_rc_wall,18,0.02,0.5,0.007741646998236705,0.0048814504881450485,0.003162412468940592,0.42250429471273143
cp_bonferroni_upper95,exchangeable_retained_rc_wall,19,0.02,0.5,0.0071902730088410985,0.00528169014084507,0.0033921302578018998,0.4220271044092384
cp_bonferroni_upper95,exchangeable_retained_rc_wall,20,0.02,0.5,0.008717381912276216,0.004169562195969423,0.0026996625421822273,0.42422217980530635
cp_bonferroni_upper95,exchangeable_retained_rc_wall,21,0.02,0.5,0.006143342852830054,0.006062767475035664,0.0037929495760821064,0.4277533880511548
cp_bonferroni_upper95,exchangeable_retained_rc_wall,22,0.02,0.5,0.008846422378801821,0.0041109969167523125,0.0027210884353741495,0.4208818476808551
cp_bonferroni_upper95,exchangeable_retained_rc_wall,23,0.02,0.5,0.010098464574228614,0.003130434782608696,0.0020288548241659153,0.4233632372590189
cp_bonferroni_upper95,exchangeable_retained_rc_wall,24,0.02,0.5,0.007334477342748233,0.0051795580110497235,0.0033738191632928477,0.42431761786600497
cp_bonferroni_upper95,exchangeable_retained_rc_wall,25,0.02,0.5,0.009594203798666781,0.0034940600978336828,0.0022371364653243847,0.42660813132277153
cp_bonferroni_upper95,exchangeable_retained_rc_wall,26,0.02,0.5,0.008869440898299098,0.003959683225341973,0.0024390243902439024,0.4304256537507158
cp_bonferroni_upper95,exchangeable_retained_rc_wall,27,0.02,0.5,0.007730683178719426,0.004888268156424581,0.003113879003558719,0.4290895209009353
cp_bonferroni_upper95,exchangeable_retained_rc_wall,28,0.02,0.5,0.008511467004156144,0.004270462633451958,0.002674392689993314,0.42823057835464784
cp_bonferroni_upper95,exchangeable_retained_rc_wall,29,0.02,0.5,0.009100796062953906,0.0038569424964936885,0.002463605823068309,0.4261309410192785
cp_bonferroni_upper95,exchangeable_retained_rc_wall,30,0.02,0.5,0.0068167734763359775,0.005545927209705373,0.0036076662908680946,0.4232677991983203
cp_bonferroni_upper95,exchangeable_retained_rc_wall,31,0.02,0.5,0.0067208661737216385,0.00562390158172232,0.003576218149307108,0.42698988356556594
cp_bonferroni_upper95,exchangeable_retained_rc_wall,32,0.02,0.5,0.007684431320432678,0.004917456972251493,0.003098716246126605,0.43118915823630466
cp_bonferroni_upper95,exchangeable_retained_rc_wall,33,0.02,0.5,0.005738981171994396,0.006322444678609062,0.004076086956521739,0.42145447604504677
cp_bonferroni_upper95,exchangeable_retained_rc_wall,34,0.02,0.5,0.01137175220784833,0.002103049421661409,0.0013464991023339318,0.425271998472991
cp_bonferroni_upper95,exchangeable_retained_rc_wall,35,0.02,0.5,0.008201847132751624,0.0045406915822563745,0.0029511918274687855,0.4204046573773621
cp_bonferroni_upper95,exchangeable_retained_rc_wall,36,0.02,0.5,0.00897114297910334,0.003913198150124511,0.002473577692826625,0.4244130559267036
cp_bonferroni_upper95,exchangeable_retained_rc_wall,37,0.02,0.5,0.008415003924844015,0.004321209938782859,0.002640845070422535,0.4336705478144684
cp_bonferroni_upper95,exchangeable_retained_rc_wall,38,0.02,0.5,0.009171923025142765,0.003827418232428671,0.00246415770609319,0.4260355029585799
cp_bonferroni_upper95,exchangeable_retained_rc_wall,39,0.02,0.5,0.007205451674522672,0.005270555165144062,0.003383713061132416,0.4230769230769231
cp_bonferroni_upper95,exchangeable_retained_rc_wall,40,0.02,0.5,0.007564629723738732,0.004996431120628123,0.0031446540880503146,0.4248902462301966
cp_bonferroni_upper95,exchangeable_retained_rc_wall,41,0.02,0.5,0.006725597399779259,0.005619950825430277,0.0035531867643793028,0.42975758732582553
cp_bonferroni_upper95,exchangeable_retained_rc_wall,42,0.02,0.5,0.00897114297910334,0.003913198150124511,0.002464709836432893,0.4259400648978813
cp_bonferroni_upper95,exchangeable_retained_rc_wall,43,0.02,0.5,0.007662856703548887,0.004931313842902431,0.0031014621178555605,0.4308074059935102
cp_bonferroni_upper95,exchangeable_retained_rc_wall,44,0.02,0.5,0.008589040042682041,0.004231311706629055,0.0027008777852802163,0.4240313036839091
cp_bonferroni_upper95,exchangeable_retained_rc_wall,45,0.02,0.5,0.007588290272874842,0.004980434009249377,0.0031124944419742106,0.4292803970223325
cp_bonferroni_upper95,exchangeable_retained_rc_wall,46,0.02,0.5,0.007660168391412264,0.004933051444679351,0.0031425364758698093,0.4251765604122924
cp_bonferroni_upper95,exchangeable_retained_rc_wall,47,0.02,0.5,0.007248808000536188,0.005239259517988124,0.0033692722371967657,0.4248902462301966
